year_month,total_users,total_bets,total_effective,total_win_loss,total_rebate,total_transactions
2025-04,113,3586010.0,3586010.0,0,0,1821
2025-05,131,2948100.0,2948100.0,0,0,1712
2025-06,154,3251005.0,3251005.0,0,0,1612
2025-07,112,3297382.0,3297382.0,0,0,1258
2025-08,99,2096120.0,2096120.0,0,0,1196
2025-09,94,1386140.0,1386140.0,0,0,1029
2025-10,111,1623060.0,1623060.0,0,0,1179
2025-11,101,1236910.0,1236910.0,0,0,1094
2025-12,98,1298000.0,1298000.0,0,0,962
2026-01,94,1882220.0,1882220.0,0,0,1090
2026-02,93,1717960.0,1717960.0,0,0,1078
2026-03,144,3587320.0,3587320.0,0,0,1565
2026-04,136,2363920.0,2363920.0,0,0,1203
